         6384841 function calls (6246808 primitive calls) in 1127.106 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    17800    0.013    0.000    0.035    0.000 arraysetops.py:276(<listcomp>)
    71200    0.020    0.000    0.034    0.000 numeric.py:1391(<listcomp>)
        1    0.000    0.000    0.034    0.034 callconv.py:3(<module>)
        1    0.000    0.000    0.034    0.034 offsetbox.py:23(<module>)
     2800    0.001    0.000    0.033    0.000 version.py:107(__init__)
        1    0.000    0.000    0.033    0.033 _distn_infrastructure.py:5(<module>)
     2800    0.011    0.000    0.032    0.000 version.py:205(_legacy_cmpkey)
   226963    0.031    0.000    0.031    0.000 {built-in method builtins.min}
      894    0.002    0.000    0.031    0.000 __init__.py:2576(from_location)
        1    0.000    0.000    0.031    0.031 category.py:11(<module>)
        1    0.000    0.000    0.030    0.030 _parser.py:30(<module>)
    18705    0.029    0.000    0.029    0.000 {built-in method posix.stat}
   293033    0.028    0.000    0.029    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.029    0.029 __init__.py:398(<module>)
        5    0.000    0.000    0.028    0.006 context.py:1(<module>)
    15533    0.004    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
        1    0.000    0.000    0.028    0.028 parfor_lowering.py:1(<module>)
        1    0.000    0.000    0.028    0.028 config.py:73(__init__)
        1    0.000    0.000    0.028    0.028 config.py:76(reset)
        1    0.000    0.000    0.028    0.028 config.py:80(update)
        1    0.000    0.000    0.028    0.028 special.py:1(<module>)
        1    0.000    0.000    0.027    0.027 config.py:111(process_environ)
        1    0.000    0.000    0.027    0.027 __init__.py:94(<module>)
       72    0.000    0.000    0.027    0.000 config.py:112(_readenv)
        1    0.000    0.000    0.027    0.027 config.py:286(avx_default)
        1    0.000    0.000    0.027    0.027 config.py:45(_os_supports_avx)
     5185    0.002    0.000    0.027    0.000 re.py:182(search)
        1    0.000    0.000    0.027    0.027 parfor.py:14(<module>)
        1    0.000    0.000    0.026    0.026 axis.py:3(<module>)
